,title,genres,developer,publisher,release_date
15030,Dean,,,,2017-08-29
15031,Drone Wars,,,,2017-09-12
15052,Hurl VR,"['Casual', ' Indie', ' Simulation']",Rusty Oak,Rusty Oak,2017-09-12
15066,,,,,
15076,Bloody Zombies,"['Action', ' Adventure']",Paw Print Games Ltd.,nDreams,2017-09-11
15084,Bottle_Shooter,"['Action', ' Adventure']","Shanghai ThinkingBear Network Technology Co.,Ltd","Shanghai ThinkingBear Network Technology Co.,Ltd",2017-09-11
15095,CrisisActionVR,"['Action', ' Adventure', ' Indie', ' Massively Multiplayer']",Pixel Wonder,Pixel Wonder,2017-09-11
15115,Dealey Plaza Paintball,"['Casual', ' Massively Multiplayer', ' Simulation', ' Sports', ' Early Access']",Jason Baird,Jason Baird,2017-08-25
15124,VirtuGO,"['Action', ' Casual', ' Indie', ' Simulation', ' Strategy']",Surreal Games,Surreal Games,2017-09-08
15142,Tower Ascent,"['Casual', ' Indie', ' Racing', ' Simulation', ' Sports']",KitTheNinja,KitTheNinja,2017-09-07
15145,The IOTA Project,"['Action', ' Free to Play', ' Indie', ' Simulation']",DreamSail Games,DreamSail Games,2017-09-07
15153,,,,,
15154,,,,,
15167,,,,,
15168,,,,,
15170,Crashimals,"['Action', ' Casual', ' Indie', ' Strategy']",Rogue Earth LLC,GAMEPUMP,2017-09-07
15174,Pegasus Door,['Action'],Jérémy Pionnier,Gate Zero,2017-09-07
15192,Big Eyes,,,,2015-04-03
15197,The Giver,,,,2014-11-24
15217,,,,,
15222,RetroGunX VR,"['Action', ' Indie']",AppsByBrats,AppsByBrats,2017-09-05
15223,Kitty Nigiri,"['Adventure', ' Indie', ' Early Access']",Greater Studios,Greater Studios,2017-09-05
15251,,,,,
15254,,,,,
15260,,,,,
15276,HORIZON VANGUARD,"['Action', ' Indie']",tain a.m. works LLC,tain a.m. works LLC,
15279,,,,,
15282,BoidWatch,"['Indie', ' Simulation']",Emmett Baber,LongShip LLC,2017-09-01
15284,Ghost Pursuit VR,"['Action', ' Adventure', ' Casual', ' Indie']",Raf1 Dev,Raf1 Dev,2017-09-01
15287,Castle Demolition VR,"['Casual', ' Indie']",Tall James Games,Tall James Games,2017-09-01
15350,Time Ninja Sakura,"['Action', ' Casual', ' Indie']",,,2017-08-31
15365,CYBER VR,"['Action', ' Indie', ' Early Access']",DAR Studio,DAR Studio,2017-08-31
15372,Blasters of the Universe,['Action'],The Secret Location,The Secret Location,2017-08-31
15390,Remnith,['Action'],Chronish Games,Chronish Games,2017-08-29
15395,,,,,
15398,,,,,
15406,Infinity Fall,"['Action', ' Adventure', ' Indie']",KorteGames,KorteGames,2017-08-30
15422,MakeVR Pro,['Animation & Modeling'],"Sixense Entertainment, Inc.",Vive Studios,2017-08-29
15425,Grass,,,,2017-08-29
15428,,,,,
15433,Starway Fleet,"['Action', ' Casual', ' Simulation']",StormCube Games,StormCube Games,2017-08-29
15437,Prison Boss VR,"['Indie', ' Simulation']",Trebuchet,Trebuchet,2017-08-29
15461,Spartaga,"['Action', ' Indie']",House of How,House of How,2017-08-28
15465,,,,,
15469,ChefU,"['Action', ' Casual', ' Simulation']",Lockem Reality,Lockem Reality,2017-08-28
15470,TurnSignal,"['Software Training', ' Utilities']",Ben Otter,Otter-Co,2017-07-30
15471,,,,,
15479,,,,,
15485,,,,,
15486,WackIt,"['Action', ' Casual', ' Indie']",Ross Grambo,Grambo Games L.L.P,2017-08-25
15501,The Sniper VR,"['Action', ' Simulation', ' Strategy']",iVRstudio,"iVR, LLC.",2017-08-25
15507,,,,,
15509,Fake World VR,"['Action', ' Adventure', ' Indie']",@peoplepersonpro,@peoplepersonpro,2017-08-25
15510,Toy Clash,"['Casual', ' Indie', ' Strategy']",5minlab,5minlab,2017-08-25
15517,The Stone,"['Action', ' Adventure']",Bornteks Entertainment,Bornteks Entertainment,2017-08-25
15566,Rollercoaster Xperience,"['Adventure', ' Simulation']",Xperiencia Virtual,Xperiencia Virtual,2017-08-09
15572,Aces High III,"['Free to Play', ' Massively Multiplayer', ' Simulation']",HiTech Creations,HiTech Creations,2016-09-15
15576,Hangry Bunnies From Mars,"['Action', ' Casual', ' Indie']",Studio229,Studio229,2017-08-23
15589,Kill Switch,,,,2017-06-16
15594,Wingless,"['Action', ' Casual', ' Indie']",Kentoo Sp. z o.o.,Kentoo Sp. z o.o.,2017-08-22
15628,,,,,
15631,,,,,
15644,VR Table Sports,"['Casual', ' Indie', ' Simulation', ' Sports']",Happy Bat,Happy Bat,2017-08-19
15646,,,,,
15671,Chocolate,"['Casual', ' Indie']",Gentle Manhands,Viacom NEXT,2017-08-17
15689,The Museum of ThroughView,"['Adventure', ' Indie', ' Simulation']",Erwin Wolf,"MarWin Studios, ThroughView",2017-08-17
15693,,,,,
15712,VR2Space,"['Casual', ' Indie', ' Simulation']",Infinite Void Ltd.,Indie,2017-08-16
15729,How to be a Latin Lover,,,,2017-06-20
15737,,,,,
15741,ChainMan,"['Action', ' Adventure', ' Indie']",ouka-ichi-mon.inc,ouka-ichi-mon.inc,2017-08-15
15743,CollabHub,"['Design & Illustration', ' Utilities', ' Early Access']",CollabHub,CollabHub,2017-08-14
15752,MermaidVR Video Player,"['Utilities', ' Video Production']",Mermaid VR Inc.,Mermaid VR Inc.,2017-08-15
15758,Impromptu Vector Field Painter,"['Animation & Modeling', ' Utilities']",Impromptu Games,Impromptu Games,2017-07-05
15760,Mini Hockey VR,['Sports'],Carson Lougheed,Carson Lougheed,2017-08-14
15772,Dimension 404,,,,2017-05-30
15774,Electro Pong VR,"['Action', ' Sports']",Amusitronix,Amusitronix,2017-08-11
15776,Swedish Dicks,,,,2017-08-10
15778,Pixel Arcade,"['Action', ' Adventure', ' Casual', ' Indie', ' Simulation', ' Early Access']",Corrie Green,CJG Studio Ltd,2017-08-11
15795,Vault Resort,"['Adventure', ' Indie', ' RPG', ' Simulation']",Martin Simeth,Martin Simeth,2017-08-11
15802,Dream Coaster VR,"['Casual', ' Simulation']",VR VISIO,Forever Entertainment S. A.,2017-08-10
15812,Range Day VR,"['Action', ' Casual', ' Indie', ' Simulation', ' Early Access']",Invidious Studios,Invidious Studios,2017-08-09
15815,,,,,
15828,VR Crane Master,"['Indie', ' Simulation']",RealityBusters.co,MoreFromIT Sp. z o.o.,2017-08-09
15829,Rez Infinite,"['Action', ' Casual', ' Indie']",Monstars Inc.,Enhance Games,2017-08-09
15834,,,,,
15865,TimeToDie,"['Action', ' Indie', ' RPG', ' Early Access']",Solo Grind,Solo Grind,2017-08-08
15867,Synthetic Dreams,"['Indie', ' Simulation']",Alexander Moro,Alexander Moro,2015-12-22
15895,,,,,
15897,,,,,
15899,Sommad,"['Adventure', ' Casual', ' Indie']",Rovango Studio,Rovango Studio,2017-08-07
15906,,,,,
15921,VR Fitness,"['Action', ' Sports']",iDEACLOUD inc.,iDEACLOUD inc.,2017-07-12
15923,imos VR LOFT,"['Animation & Modeling', ' Design & Illustration']",imos AG,imos AG,2017-05-22
15925,Darts VR,"['Casual', ' Indie', ' Simulation', ' Sports']",The Awesome Game Studio,The Awesome Game Studio,2017-07-10
15936,Noise,"['Adventure', ' Indie', ' Early Access']",Talentplace,KishMish Games,2017-08-04
15944,,,,,
15948,Avem33,"['Casual', ' Free to Play', ' Indie', ' Racing']",WaVR,WaVR,2017-08-04
15954,VTOL VR,"['Action', ' Indie', ' Simulation', ' Early Access']","Boundless Dynamics, LLC","Boundless Dynamics, LLC",2017-08-03
15961,Rise of Insanity,"['Action', ' Adventure', ' Indie', ' Simulation', ' Early Access']",Red Limb Studio,Red Limb Studio,2017-08-03
15971,Mad Arkanoid,"['Action', ' Casual', ' Sports']",,,2017-08-03
15972,,,,,
15976,Interplanetary Hunter,"['Action', ' Adventure', ' Simulation']",xiaofeixiong,xiaofeixiong,2017-08-03
15980,,,,,
15981,,,,,
15984,,,,,
15991,StickDodgeVR,"['Action', ' Adventure', ' Indie', ' Sports']",Brian Underwood,The StickDodgeVR Team,2017-08-20
15992,,,,,
15999,Rangi,"['Adventure', ' Casual', ' Indie']",Funsoft,Digigo,2017-08-03
16003,The baron got you again,"['Action', ' Adventure']",XXII GROUP,XXII GROUP,2017-08-03
16006,,,,,
16012,Tiny Town VR,"['Casual', ' Indie', ' Simulation']",Lumbernauts,Lumbernauts,2017-08-02
16014,Gravity Sketch VR,"['Animation & Modeling', ' Design & Illustration', ' Early Access']",Gravity Sketch Limited,Gravity Sketch Limited,2017-08-02
16030,Archangel,"['Action', ' Simulation']",Skydance Interactive,Skydance Interactive,2017-08-02
16033,IKAROS,"['Adventure', ' Free to Play', ' Indie']",Studio Mori,Studio Mori,2017-09-02
16035,,,,,
16062,,,,,
16063,The Red Stare,"['Action', ' Free to Play', ' Indie']",Play,Play,2017-07-31
16069,Prevent The Fall,"['Action', ' Adventure', ' Indie', ' RPG']",D.W.S,D.W.S.,2017-07-31
16070,Mars 2030,['Simulation'],FMG Labs,Fusion Media Group,2017-07-31
16075,,,,,
16085,,,,,
16087,Slingshot Hero VR,['Simulation'],Amusitronix,Amusitronix,2017-07-31
16112,Obscura,"['Indie', ' Simulation']",Michael Hegemann,Michael Hegemann,2017-07-27
16113,Just In Time Incorporated,"['Action', ' Indie', ' Simulation']",Second Wind Interactive,Second Wind Interactive,2017-07-27
16115,Loco Dojo,"['Action', ' Casual', ' Indie']",Make Real,Make Real,2017-07-27
16129,Dragonflight,"['Action', ' Indie', ' Simulation']",Blackthorn Media Inc,Blackthorn Media Inc,2017-07-27
16142,,,,,
16163,,,,,
16185,,,,,
16219,Bleeding Kansas,"['Action', ' Indie', ' Early Access']",Histogram Games,Histogram Games,2017-07-23
16231,Solar System Journey VR,"['Action', ' Casual', ' Simulation']",Amusitronix,Amusitronix,2017-06-28
16239,,,,,
16258,Rich life simulator VR,"['Casual', ' Indie', ' Simulation']",bch waves studio,bch waves studio,2017-07-20
16262,Spirit Realm,"['Casual', ' Free to Play', ' Indie', ' Simulation']",Matthew Reed,Magic House Creative,2017-07-21
16276,inVokeR,"['Action', ' Indie', ' Early Access']","8th Shore, Inc.","8th Shore, Inc.",2017-07-20
16291,,,,,
16305,Float Gallery,"['Casual', ' Free to Play', ' Simulation']",Float Gallery,Float Gallery,2017-07-19
16310,Gravity League,"['Action', ' Casual', ' Indie', ' Simulation', ' Sports', ' Early Access']",Mechabit Ltd,Mechabit Ltd,
16316,Hand Simulator,['Simulation'],HFM Games,HFM Games,2017-07-18
16325,,,,,
16346,Space Conquest,"['Action', ' Casual', ' Indie', ' Early Access']",NyanBlade,Masai Interactive,2017-07-17
16350,Bullet VR,"['Action', ' Adventure', ' Casual', ' Indie']",Mugle Studio,Mugle Studio,2017-07-17
16357,Hoop Shot VR,"['Casual', ' Indie', ' Simulation', ' Sports']",Central Coast Games,Jagged Games,2017-07-17
16365,SoundLites,"['Casual', ' Free to Play', ' Indie']",ICON Interactive,ICON Interactive,2017-07-16
16387,Tank Battle Mania,['Action'],,,2017-07-14
16406,Kart Racing Pro,"['Racing', ' Simulation', ' Sports']",PiBoSo,PiBoSo,2017-07-14
16407,Hover Bots VR,"['Action', ' Adventure', ' Casual', ' Indie', ' Racing', ' Strategy']",Khizer Awan,Aplome Labs,2017-07-03
16417,To Be Takei,,,,2014-08-22
16434,Red Bull 360,,,,2017-07-13
16447,,,,,
16449,The Last Playlist,,,,2017-03-24
16451,AccuRC 2,"['Racing', ' Simulation']",trasnatech,trasnatech,2017-06-12
16456,,,,,
16457,Nightman,,,,2017-07-11
16458,Power Fist VR,"['Action', ' Casual', ' Indie']",Applemint,Applemint,2017-07-07
16459,Beastmaster,,,,2017-07-11
16460,Everyday Golf VR,['Sports'],WISECAT,WISECAT,2017-07-12
16462,Relic Hunter,,,,2017-07-11
16494,Late For Work,"['Action', ' Indie', ' Early Access']",Salmi Games,Salmi Games,2017-07-12
16496,,,,,
16497,,,,,
16530,American VR Coasters,"['Action', ' Casual', ' Indie', ' Simulation']",Funny Twins,Funny Twins,2017-07-07
16531,DarkMaze,"['Adventure', ' Casual', ' Strategy']",Chongqing Yan Wan network technology Co.Ltd.,Chongqing Yan Wan network technology Co.Ltd.,2017-06-06
16532,The Western Hunter,"['Casual', ' Simulation']",Wisdom Emprie,Wisdom Emprie,2017-07-08
16541,Viral EX,"['Action', ' Indie']",Fierce Kaiju Ltd,Fierce Kaiju Ltd,2017-07-10
16545,The Muybridge Mausoleum,"['Casual', ' Indie']",Most Ancient,Most Ancient,2017-07-10
16555,Douarnenez VR,"['Animation & Modeling', ' Design & Illustration', ' Education']",Raf1 Dev,Raf1 Dev,2017-07-07
16558,,,,,
16577,Cowboy Revenge,"['Action', ' Casual', ' Indie', ' Massively Multiplayer']",,,2017-07-09
16578,Blocks by Google,"['Free to Play', ' Design & Illustration']",Google,Google,2017-07-06
16581,,,,,
16585,,,,,
16594,Twin Roads,"['Adventure', ' Casual', ' Indie']",WarPI Games,WarPI Games,2017-07-05
16596,,,,,
16604,Escape Room,['Adventure'],AppFactoryHaru-Ni,AppFactoryHaru-Ni,2017-06-30
16617,Hex Tunnel,['Indie'],Owlgorithm,Owlgorithm LLC,2017-07-04
16625,Earthquake Simulator VR,['Simulation'],Lindero Edutainment,Lindero Edutainment,2017-07-03
16628,Dabda,"['Adventure', ' Casual', ' Indie']",,,2017-06-30
16629,Block Rocking Beats,"['Casual', ' Indie', ' Simulation', ' Early Access']",Sander Sneek,SNAKE Productions,2017-06-30
16632,,,,,
16635,,,,,
16637,Puttyface,"['Free to Play', ' Indie', ' Simulation', ' Early Access']",the3dCrew,the3dCrew,2017-03-10
16639,,,,,
16651,,,,,
16673,,,,,
16674,,,,,
16676,Ghost Ship,,,,2017-06-27
16691,Gus Track Adventures VR,"['Action', ' Adventure', ' Indie']",maxlvlgames,maxlvlgames,2017-06-27
16692,,,,,
16718,,,,,
16719,Xion,"['Action', ' Indie', ' Early Access']",Zenz VR,Zenz VR,2017-06-23
16722,Luxin Time,"['Action', ' Casual', ' Indie', ' Early Access']",ExtraSaucySauce,ExtraSaucySauce,2017-06-23
16724,Escape Together,"['Adventure', ' Casual', ' Indie', ' Strategy']",,,2017-06-21
16727,,,,,
16748,Miss Bernard Said,,,,2017-06-21
16750,Kemono Friends,,,,2017-06-21
16751,,,,,
16753,Hundred,,,,2017-06-21
16754,Big Order,,,,2017-06-21
16755,,,,,
16756,Lost Village,,,,2017-06-21
16758,,,,,
16759,Space Patrol Luluco,,,,2017-06-21
16760,,,,,
16762,Diesel Express VR,"['Action', ' Adventure', ' Indie', ' Early Access']",Lazylab Games,Lazylab Games,2017-06-21
16763,Lostorage incited WIXOSS,,,,2017-06-21
16764,Fuuka,,,,2017-06-21
16765,Saga of Tanya the Evil,,,,2017-06-21
16766,elDLIVE,,,,2017-06-21
16767,Hand Shakers,,,,2017-06-21
16768,Time Bokan,,,,2017-06-21
16769,Bloodivores,,,,2017-06-21
16770,,,,,
16771,Danchigai,,,,2017-06-21
16772,Schoolgirl Strikers,,,,2017-06-21
16773,,,,,
16774,Magical Girl Raising Project,,,,2017-06-21
16775,Yuri on Ice,,,,2017-06-21
16776,,,,,
16777,Cerberus,,,,2017-06-21
16778,Sound Euphonium,,,,2017-06-21
16779,The Highschool Life of Fudanshi,,,,2017-06-21
16780,,,,,
16781,New Game,,,,2017-06-21
16784,,,,,
16785,Mocove Arts VR,"['Indie', ' Simulation']",Mocove Studio,Mocove Studio,2017-06-21
16796,,,,,
16797,,,,,
16798,Ange Vierge,,,,2017-06-21
16799,Brave Witches,,,,2017-06-21
16800,Myriad Colors Phantom World,,,,2017-06-21
16807,Chess Ultra,"['Casual', ' Indie', ' Simulation', ' Sports', ' Strategy']",Ripstone,Ripstone,2017-06-21
16810,The Grandmaster,,,,2017-06-21
16813,,,,,
16819,,,,,
16820,,,,,
16821,Redfoot Bluefoot Dancing for VIVE Trackers,"['Action', ' Indie', ' Simulation', ' Sports']",Rebuff Reality,Rebuff Reality,2017-06-20
16822,VR Guest,"['Adventure', ' Casual', ' Indie', ' Simulation']",Alison M. Bailey,Chronos Development Studios,2017-06-01
16845,RoboTraps,"['Casual', ' Indie', ' Simulation']",Poltergames,Poltergames,2016-12-28
16861,Blender Character Modeling For Beginners HD,,,,2017-06-18
16878,RunVR,"['Indie', ' Racing', ' Simulation']",Smoketree Studios,Smoketree Studios,2017-06-19
16883,,,,,
16891,Lander 8009 VR,"['Action', ' Adventure', ' Casual', ' Indie', ' Simulation', ' Strategy', ' Early Access']",Ivanovich Games,Ivanovich Games,2017-06-16
16894,Master Shot VR,"['Action', ' Casual', ' Simulation', ' Early Access']","Puresurface, Inc.","Puresurface, Inc.",2017-06-15
16895,Intel 5G VR Experience,['Animation & Modeling'],Groove Jones,Infinity Marketing,2017-06-15
16901,Nightcrawler VR Bowling,"['Casual', ' Sports']",Nadya Primak,Nadya Primak,2017-05-27
16903,Smashing The Battle VR,"['Action', ' Casual']",Studio HG,YJM GAMES,2017-06-15
16907,,,,,
16913,ARK Park,"['Adventure', ' Simulation']",Snail Games,Snail Games,
16935,Hypatia,"['Action', ' Adventure', ' Casual', ' Massively Multiplayer', ' Early Access']",TimefireVR Inc,TimefireVR Inc,2017-06-15
16937,,,,,
16938,Diorama Worlds,"['Casual', ' Indie', ' Simulation']",Mixed Reality Worlds,Mixed Reality Worlds,2017-06-13
16939,,,,,
16941,,,,,
16944,Medusa,,,,2015-10-02
16956,StageX,"['Animation & Modeling', ' Video Production', ' Early Access']",UnitedRealityLab,UnitedRealityLab,2017-06-13
16975,Virush,['Action'],Arcturus,DMG Entertainment,2017-06-08
16976,,,,,
16977,,,,,
16979,,,,,
16981,Ski Jump VR,"['Sports', ' Early Access']",Pixel Perfect Dude,Pixel Perfect Dude,2017-06-08
16982,ObserVRtarium,"['Simulation', ' Early Access']",NSC Creative,NSC Creative,2017-06-08
16983,,,,,
16988,69 Ways to Kill a Zombie,"['Action', ' Casual', ' Indie']",Wadup Games,Wadup Games,2017-06-08
16995,Vehicle VR,"['Action', ' Racing', ' Strategy']",Nick Helweg,Nick Helweg,2017-06-09
17001,Reaping Rewards,['Adventure'],Limitless Ltd,Limitless Ltd,2017-06-09
17012,Jack Spriggan,"['Action', ' Adventure']",Vertexherder,Vertexherder,2017-06-09
17013,Katana X,"['Action', ' Indie', ' Simulation', ' Sports', ' Early Access']","Aargle, LLC","Aargle, LLC",2017-06-09
17025,,,,,
17040,Lathe Safety Simulator,"['Indie', ' Simulation']",Michael Callaghan,Alexis Baron,2017-06-06
17048,The Sense of an Ending,,,,2017-06-06
17049,,,,,
17055,,,,,
17056,,,,,
17065,Disco Time 80s VR,['Simulation'],Indiecode Games,Indiecode Games,2017-06-10
17079,Pixel Ripped 1989,"['Action', ' Adventure', ' Indie']",Pixel Ripped Inc.,ARVORE Immersive Experiences,
17087,Woeful Woebots,"['Action', ' Casual', ' Indie', ' Early Access']",Hello Bard AS,Hello Bard AS,2017-06-01
17088,Castle Wars VR,"['Strategy', ' Early Access']",Arrible,Arrible,2017-05-31
17090,Vanguard V,"['Action', ' Adventure', ' Indie', ' Early Access']",ZeroTransform,ZeroTransform,2017-05-31
17094,Ripple Effect,"['Action', ' Adventure', ' Casual', ' Free to Play', ' Indie', ' Simulation', ' Strategy']","Well Played Studio, Inc","Well Played Studio, Inc",2017-05-31
17101,Airborne Empires,"['Indie', ' Strategy', ' Early Access']",Stenkross Studios,Stenkross Studios,
17106,,,,,
17108,,,,,
17112,Galaxis Wars,"['Action', ' Indie', ' Simulation', ' Strategy']",Clear Ink Studios,Clear Ink Studios,2017-05-30
17116,Sing Street,,,,2016-07-26
17118,,,,,
17122,Country of One,"['Action', ' Adventure', ' Simulation', ' Early Access']",Roman Revzin,Roman Revzin,2017-06-01
17131,7 Witches,,,,2017-05-09
17145,Gritty Bit VR,"['Action', ' Casual', ' Indie', ' Early Access']",OD.,OD.,2017-05-26
17147,Amnesia Fortnight,,,,2017-05-26
17155,Zombie Riot,"['Action', ' Adventure', ' Casual', ' Indie', ' RPG', ' Strategy']",PlaySide VR,PlaySide VR,2017-05-25
17158,方块传说,"['Action', ' Adventure', ' Casual', ' Free to Play', ' RPG']",重庆焱玩网络科技有限公司,重庆焱玩网络科技有限公司,2017-05-25
17163,CDF Starfighter VR,"['Action', ' Adventure', ' Casual', ' Indie', ' Simulation']",MadAboutGamesStudios,MAVR,2017-05-26
17168,,,,,
17169,The Shack,,,,2017-05-16
17172,,,,,
17191,Climate Hustle,,,,2016-05-02
17195,,,,,
17196,VR Darts,"['Casual', ' Indie', ' Simulation', ' Sports', ' Early Access']",IgnisVR,IgnisVR,2017-05-25
17197,Crazy Fishing,"['Action', ' Casual', ' Indie', ' Sports']",Mana Wings,Mana Wings,2017-05-25
17200,SUPERHOT VR,"['Action', ' Indie']",SUPERHOT Team,SUPERHOT Team,2017-05-25
17213,Maski VR,['Video Production'],Chingis LLC,AFL Productions,2017-05-22
17218,,,,,
17219,Mind OVR Matter,"['Action', ' Indie']",Joe Chatfield,Joe Chatfield,2017-05-22
17225,Defenders of the Realm VR,['Strategy'],Spark VR,Multiverse,2017-05-17
17232,,,,,
17235,The Reluctant God,,,,2017-05-23
17248,Battle Summoners VR,"['Action', ' Indie', ' RPG', ' Simulation', ' Strategy', ' Early Access']",VoleR Creative,VoleR Creative,2017-05-22
17253,Aeon,"['Action', ' Indie']",Illusion Ranger,Illusion Ranger,2017-05-22
17256,Voxel Shot VR,"['Action', ' Casual', ' Indie']",SAT-BOX,SAT-BOX,2017-05-19
17257,ZombieFight VR,"['Action', ' Adventure', ' RPG']","Beijing Elysium Interactive Technology Co.,Ltd.","Beijing Elysium Interactive Technology Co.,Ltd.",2017-01-20
17260,Vision Origin,"['Action', ' Adventure', ' RPG']","Shanghai ThinkingBear Network Technology Co.,Ltd","Shanghai ThinkingBear Network Technology Co.,Ltd",2017-05-19
17267,sphereFACE,"['Action', ' Casual', ' Indie', ' Simulation']",VoxelStorm,VoxelStorm,2017-05-19
17268,Practisim VR,"['Action', ' Indie', ' Simulation', ' Sports', ' Early Access']",AncientSky Games,AncientSky Games,2017-05-19
17270,The Slopes,"['Action', ' Adventure', ' Indie', ' Racing']",Peter Labick,GreenHopper Development,2017-05-19
17272,Surface To Air,,,,2017-05-17
17281,Stack,"['Casual', ' Indie', ' Strategy']",AeroLab Studios,AeroLab Studios,2017-05-18
17287,,,,,
17296,Detached,"['Indie', ' Simulation']",Anshar Studios,Anshar Studios,2017-05-18
17298,TO THE TOP,"['Action', ' Indie', ' Racing']",Electric Hat Games LLC.,Electric Hat Games LLC.,2017-05-18
17313,,,,,
17327,Elevator VR,"['Casual', ' Indie', ' Simulation']",のdev,"Babaroga, LLC",2017-05-15
17333,Eastwood VR,"['Action', ' Indie', ' Simulation', ' Early Access']",RAV3 Interactive,RAV3 Interactive,2017-05-05
17354,AM Model Viewer,"['Animation & Modeling', ' Design & Illustration']",Ao Mariko 2016,Ao Mariko 2016,2017-05-17
17367,Blobby Tennis,"['Indie', ' Simulation', ' Sports']",SlinDev,SlinDev,2017-05-12
17370,Mythlink,"['Action', ' Indie', ' Strategy']",Home Point Games,Home Point Games,
17386,Immersion Chess,"['Casual', ' Free to Play', ' Sports', ' Strategy']",Immersion,Immersion,2017-05-15
17395,Freeze Climbing,"['Action', ' Indie', ' Simulation']",Bottino.Games,Bottino.Games,2017-05-12
17429,Cyberdrifter,"['Action', ' Indie', ' Early Access']",Scott Wilson,UziGames,2017-05-09
17434,,,,,
17436,Pixvana 360 Production Series,,,,2017-05-08
17438,,,,,
17439,Under the Canopy,,,,2017-05-10
17440,,,,,
17441,The Hunger Games 360,,,,2012-08-18
17442,RED CUBE VR,"['Action', ' Adventure', ' Indie', ' Simulation', ' Early Access']",Egidijus Bachur,Egidijus Bachur,2017-05-10
17443,Steam 360 Video Player,,Valve,,2017-05-10
17445,Red vs Blue 360,,,,2017-05-10
17446,,,,,
17449,CubeBall VR,"['Casual', ' Indie', ' Simulation']",Tachyon Factory,Tachyon Factory,2017-05-10
17458,Drummer Talent VR,"['Casual', ' Indie', ' Simulation', ' Early Access']",Tungsten Games,Tungsten Games,2017-05-05
17460,RetroFighter VR,"['Action', ' Casual', ' Indie', ' Simulation', ' Early Access']",Jun Chul Park,Reality Reflection,2017-05-06
17461,StarPlayerVR,"['Utilities', ' Video Production']",OrangeStar,OrangeStar,2017-05-07
17466,Pixvana SPIN Play,"['Video Production', ' Web Publishing']","Pixvana, Inc.","Pixvana, Inc.",2017-05-04
17467,PsychLabVR,"['Education', ' Software Training']",Noah Robinson,Noah Robinson,2017-05-04
17495,,,,,
17509,Mass Exodus,"['Action', ' Casual', ' Indie']",Polymerse,Polymerse,2017-05-04
17516,Nature Treks VR,"['Casual', ' Simulation']",John Carline,John Carline,2017-05-04
17523,,,,,
17528,Big Hit VR Baseball,"['Casual', ' Indie', ' Simulation', ' Sports']",Big Hit Games,Big Hit Games,2017-05-02
17537,Conductor,"['Action', ' Adventure', ' Indie']",Overflow,Overflow,2017-05-02
17550,Strata inStudio VR,"['Casual', ' Animation & Modeling', ' Design & Illustration']","Strata Mixed Reality, Inc.","Strata Mixed Reality, Inc.",2017-05-03
17565,Show Must Go On,"['Casual', ' Indie']",NiVision,NiVision,2017-03-09
17569,Pinball Evolution VR,"['Casual', ' Indie', ' Simulation', ' Early Access']",Evolution Pinball VR,Evolution Pinball VR,2017-04-29
17579,,,,,
17580,,,,,
17581,,,,,
17582,,,,,
17583,That Guy Who Was In That Thing,,,,2012-10-11
17584,,,,,
17585,Totally Bill Hicks,,,,1994-01-01
17586,,,,,
17588,,,,,
17591,,,,,
17592,,,,,
17618,Blackjack Bailey VR,"['Casual', ' Indie', ' Simulation']",Hologram Software LTD.,iCandy Games Inc.,2017-04-27
17625,30th Century Post Office,"['Indie', ' Early Access']",Toxodon Games,Toxodon Games,2017-04-27
17627,Holos,['Utilities'],"Holos, Inc.","Holos, Inc.",
17630,TITAN SLAYER,['Action'],"COLOPL, Inc.","COLOPL, Inc.",2017-04-27
17633,COMET STRIKE,"['Action', ' Casual']","PRIME WORKS Co.,Ltd.","PRIME WORKS Co.,Ltd.",2017-04-27
17636,Journey to Alien Worlds,"['Adventure', ' Casual', ' Indie', ' Simulation', ' Early Access']",Ideographer,Ideographer,2017-04-27
17647,,,,,
17649,La La Land,,,,2017-04-11
17654,Scanner Sombre,"['Adventure', ' Indie']",Introversion Software,Introversion Software,2017-04-26
17677,,,,,
17679,Schlocks,"['Casual', ' Indie', ' Simulation', ' Early Access']",Fancy Bear Games,Fancy Bear Games,2017-04-18
17680,I Expect You To Die,['Indie'],Schell Games,Schell Games,2017-04-25
17693,Ropes And Dragons VR,"['Action', ' Adventure', ' Indie']",nobodyshot,nobodyshot,2017-02-03
17700,Craft Keep VR,"['Adventure', ' Simulation', ' Strategy']",Strange Fire,Excalibur Games,2017-04-21
17706,,,,,
17707,Forgotten Chambers,"['Action', ' Adventure', ' Indie']",Tpot Studio,Tpot Studio,2017-04-21
17709,Baskhead Training,"['Action', ' Casual', ' Sports']",VRLINES,VRLINES,2017-04-21
17711,Death Note,,,,2007-10-20
17714,Drone Fighters,"['Action', ' Indie', ' Simulation', ' Sports', ' Early Access']",Surreal Games,Surreal Games,2017-04-21
17715,Colourise,"['Casual', ' Indie']",Field Tested,Field Tested,2017-04-21
17735,Virtual Islands,"['Casual', ' Sports']",Tim McCulloch,Tim McCulloch,2016-09-09
17736,Spirit Guide Crucible,"['Action', ' Casual', ' Indie']",IndieRevo,IndieRevo,2017-04-24
17737,Karnage Chronicles,"['Action', ' Adventure', ' RPG', ' Early Access']",Nordic Trolls,Nordic Trolls,2017-04-24
17738,,,,,
