,title,genres,developer,publisher,release_date
6143,,,,,
6165,,,,,
6166,WITHIN,['Utilities'],"Within Unlimited, Inc.","Within Unlimited, Inc.",2016-06-16
6181,,,,,
6188,Annie Amber,"['Adventure', ' Casual', ' Indie']",Pantumaca Barcelona,Talking About Media,2016-06-17
6199,Hoops VR,"['Simulation', ' Sports']",Wizard Games Inc,Wizard Games Inc,2016-06-20
6202,Astroderps,"['Casual', ' Indie', ' Strategy']",Chronos VR,Chronos VR,2016-06-17
6214,L U N E,"['Casual', ' Indie', ' Simulation']",Isaac Cohen,Isaac Cohen,2016-06-20
6226,QuiVr,"['Action', ' Casual', ' Indie', ' Simulation', ' Early Access']",Blueteak,"Alvios, Inc.",2016-12-19
6227,,,,,
6233,,,,,
6237,Bowl VR,"['Casual', ' Simulation', ' Sports']",Carbon Fiber Games,Carbon Fiber Games,2016-06-24
6246,VirZOOM Arcade,"['Action', ' Adventure', ' Casual', ' Indie', ' Racing', ' Sports']",VirZOOM,VirZOOM,2016-06-30
6249,Klepto,"['Action', ' Indie', ' Simulation', ' Early Access']",Meerkat Gaming,Meerkat Gaming,2016-06-30
6258,,,,,
6261,Rumpus,"['Animation & Modeling', ' Audio Production', ' Design & Illustration', ' Education', ' Early Access']",Luke Iannini,Luke Iannini,2016-07-04
6283,Car Car Crash Hands On Edition,"['Action', ' Casual', ' Indie', ' Early Access']",Chocolatefudge Games,Chocolatefudge Games,2016-07-04
6284,Ghost Train VR,"['Casual', ' Indie']",JDMSoftware,JDMSoftware,2016-07-05
6293,Waddle Home,"['Casual', ' Indie', ' Strategy']",Archiact,Archiact Interactive Ltd.,2016-07-07
6301,DUO,"['Action', ' Casual', ' Indie', ' Sports']",NiVision,NiVision,2016-07-08
6305,,,,,
6310,Slam,"['Casual', ' Indie', ' Strategy']",Aera Studios,Aera Studios,2016-07-11
6311,VR Boxing Workout,"['Simulation', ' Sports']",Wenkly Studio Sp. z o.o.,Wenkly Studio Sp. z o.o.,2016-07-10
6356,Ultimate Booster Experience,"['Action', ' Adventure', ' Casual', ' Simulation']",GexagonVR,GexagonVR,2016-04-16
6361,Dashy Square VR,"['Action', ' Indie']",Kastriot Sulejmani,Kastriot Sulejmani,2016-07-14
6372,Trials on Tatooine,['Action'],ILMxLAB,ILMxLAB,2016-07-18
6391,The Assembly,"['Adventure', ' Indie']",nDreams,nDreams,2016-07-19
6403,My Own Pet,"['Casual', ' Indie', ' Simulation', ' Early Access']",JDMSoftware,JDMSoftware,2016-07-19
6407,Emergence Fractal Multiverse ᵠ,"['Education', ' Early Access']",17th Dimension,,2016-07-17
6409,,,,,
6410,,,,,
6420,The Wicker Man,,,,1999-11-30
6421,Copter and Sky,"['Action', ' Casual', ' Indie', ' Simulation']",Kopnin Pavel,Fly Dream Dev,2016-07-25
6435,Puzzle Blocks,"['Adventure', ' Casual', ' Indie', ' Early Access']",Ayy Caramba Games,Ayy Caramba Games,2016-07-22
6438,The Anchorite,,,,2016-04-01
6439,American Hostage,,,,2016-05-06
6440,Queen of Spades,,,,2016-06-10
6442,,,,,
6450,Brick Stack VR,"['Casual', ' Indie']",Andrew French,Andrew French,2016-07-26
6451,BellyBots,"['Indie', ' Early Access']",Grumpy Company GmbH,Grumpy Company GmbH,2016-07-26
6462,VR Fractals,"['Design & Illustration', ' Utilities', ' Video Production']",Phylliida,Phylliida,2016-07-22
6465,Think Space,"['Design & Illustration', ' Utilities']","Funly, LLC","Funly, LLC",2016-07-26
6467,,,,,
